Item Group,Parent Item Group,Is Group,Item Group Name,Description,Tags,Level,Category ID,Parent Category ID
Cat Perches & Shelves,Animals & Pet Supplies,0,Cat Perches & Shelves,,,1,ap-2-2-2-2,
Cat Scratchers & Scratching Posts,Animals & Pet Supplies,0,Cat Scratchers & Scratching Posts,,,1,ap-2-2-2-3,
Cat Steps & Ramps,Animals & Pet Supplies,0,Cat Steps & Ramps,,,1,ap-2-2-2-4,
Cat Trees & Towers,Animals & Pet Supplies,0,Cat Trees & Towers,,,1,ap-2-2-2-5,
Cat Window Beds & Perches,Animals & Pet Supplies,0,Cat Window Beds & Perches,,,1,ap-2-2-2-6,
Outdoor Cat Houses,Animals & Pet Supplies,0,Outdoor Cat Houses,,,1,ap-2-2-2-7,
Cat Furniture Accessories,Animals & Pet Supplies,0,Cat Furniture Accessories,,,1,ap-2-2-3,
Cat Litter,Animals & Pet Supplies,1,Cat Litter,,,1,ap-2-2-4,
Cat Litter Box Liners,Cat Litter,0,Cat Litter Box Liners,,,2,ap-2-2-4-1,ap-2-2-4
Cat Litter Box Mats,Cat Litter,0,Cat Litter Box Mats,,,2,ap-2-2-4-2,ap-2-2-4
Cat Litter Boxes,Cat Litter,0,Cat Litter Boxes,,,2,ap-2-2-4-3,ap-2-2-4
Cat Litter Box Liners,Animals & Pet Supplies,0,Cat Litter Box Liners,,,1,ap-2-2-4-1,
Cat Litter Box Mats,Animals & Pet Supplies,0,Cat Litter Box Mats,,,1,ap-2-2-4-2,
Cat Litter Boxes,Animals & Pet Supplies,0,Cat Litter Boxes,,,1,ap-2-2-4-3,
Cat Toys,Animals & Pet Supplies,1,Cat Toys,,,1,ap-2-2-5,
Balls & Chasers,Cat Toys,0,Balls & Chasers,,,2,ap-2-2-5-1,ap-2-2-5
Catnip Toys,Cat Toys,0,Catnip Toys,,,2,ap-2-2-5-2,ap-2-2-5
Chew Toys,Cat Toys,0,Chew Toys,,,2,ap-2-2-5-3,ap-2-2-5
Feathers & Teasers,Cat Toys,0,Feathers & Teasers,,,2,ap-2-2-5-4,ap-2-2-5
Interactive Toys,Cat Toys,0,Interactive Toys,,,2,ap-2-2-5-5,ap-2-2-5
Laser Toys,Cat Toys,0,Laser Toys,,,2,ap-2-2-5-6,ap-2-2-5
Puzzles & Treat-Dispensing Toys,Cat Toys,0,Puzzles & Treat-Dispensing Toys,,,2,ap-2-2-5-7,ap-2-2-5
Squeakies,Cat Toys,0,Squeakies,,,2,ap-2-2-5-9,ap-2-2-5
Stuffed Toys & Plushies,Cat Toys,0,Stuffed Toys & Plushies,,,2,ap-2-2-5-10,ap-2-2-5
Tunnels,Cat Toys,0,Tunnels,,,2,ap-2-2-5-11,ap-2-2-5
Wands,Cat Toys,0,Wands,,,2,ap-2-2-5-12,ap-2-2-5
Balls & Chasers,Animals & Pet Supplies,0,Balls & Chasers,,,1,ap-2-2-5-1,
Catnip Toys,Animals & Pet Supplies,0,Catnip Toys,,,1,ap-2-2-5-2,
Feathers & Teasers,Animals & Pet Supplies,0,Feathers & Teasers,,,1,ap-2-2-5-4,
Interactive Toys,Animals & Pet Supplies,0,Interactive Toys,,,1,ap-2-2-5-5,
Laser Toys,Animals & Pet Supplies,0,Laser Toys,,,1,ap-2-2-5-6,
Puzzles & Treat-Dispensing Toys,Animals & Pet Supplies,0,Puzzles & Treat-Dispensing Toys,,,1,ap-2-2-5-7,
Squeakies,Animals & Pet Supplies,0,Squeakies,,,1,ap-2-2-5-9,
Stuffed Toys & Plushies,Animals & Pet Supplies,0,Stuffed Toys & Plushies,,,1,ap-2-2-5-10,
Tunnels,Animals & Pet Supplies,0,Tunnels,,,1,ap-2-2-5-11,
Wands,Animals & Pet Supplies,0,Wands,,,1,ap-2-2-5-12,
Cat Treats,Animals & Pet Supplies,0,Cat Treats,,,1,ap-2-2-6,
Dog Supplies,Animals & Pet Supplies,1,Dog Supplies,,,1,ap-2-3,
Dog Diaper Pads & Liners,Dog Supplies,0,Dog Diaper Pads & Liners,,,2,ap-2-3-1,ap-2-3
Dog Diapers,Dog Supplies,0,Dog Diapers,,,2,ap-2-3-2,ap-2-3
Dog Food,Dog Supplies,0,Dog Food,,,2,ap-2-3-3,ap-2-3
Dog Houses,Dog Supplies,0,Dog Houses,,,2,ap-2-3-4,ap-2-3
Dog Kennel & Run Accessories,Dog Supplies,0,Dog Kennel & Run Accessories,,,2,ap-2-3-5,ap-2-3
Dog Kennels & Runs,Dog Supplies,0,Dog Kennels & Runs,,,2,ap-2-3-6,ap-2-3
Dog Toys,Dog Supplies,0,Dog Toys,,,2,ap-2-3-7,ap-2-3
Dog Treadmills,Dog Supplies,0,Dog Treadmills,,,2,ap-2-3-8,ap-2-3
Dog Treats,Dog Supplies,0,Dog Treats,,,2,ap-2-3-9,ap-2-3
Dog Diaper Pads & Liners,Animals & Pet Supplies,0,Dog Diaper Pads & Liners,,,1,ap-2-3-1,
Dog Diapers,Animals & Pet Supplies,0,Dog Diapers,,,1,ap-2-3-2,
Dog Food,Animals & Pet Supplies,1,Dog Food,,,1,ap-2-3-3,
Non-Prescription Dog Food,Dog Food,0,Non-Prescription Dog Food,,,2,ap-2-3-3-1,ap-2-3-3
Prescription Dog Food,Dog Food,0,Prescription Dog Food,,,2,ap-2-3-3-2,ap-2-3-3
Non-Prescription Dog Food,Animals & Pet Supplies,0,Non-Prescription Dog Food,,,1,ap-2-3-3-1,
Prescription Dog Food,Animals & Pet Supplies,0,Prescription Dog Food,,,1,ap-2-3-3-2,
Dog Houses,Animals & Pet Supplies,0,Dog Houses,,,1,ap-2-3-4,
Dog Kennel & Run Accessories,Animals & Pet Supplies,0,Dog Kennel & Run Accessories,,,1,ap-2-3-5,
